Aspect,BSI,Elevation,NBR,NDMI,NDVI,NDWI,SAVI,SinAspect,Slope,PA,POINT_X,POINT_Y,PcentBgrnd,PcentOther,PointID,Class,Class_Number
139.61868,9653,1756,-0.084653935,-0.176456252,0.09761247,-0.235466179,1.097612474,0.647871546,36.641033,1,-111.953331,36.269391,90,10,823,Bareground,1
145.77762,9821,1755,-0.06435968,-0.158254717,0.10666667,-0.251402525,1.106666667,0.562406419,31.253511,1,-111.954007,36.268837,90,10,819,Bareground,1
142.05907,9593,1752,-0.085786023,-0.188258608,0.12437811,-0.259173871,1.124378109,0.61484878,35.693913,1,-111.953776,36.269016,90,10,820,Bareground,1
142.64656,9971,1769,-0.075407252,-0.172486772,0.10003126,-0.23452026,1.10003126,0.606730069,27.899996,1,-111.954004,36.269202,90,10,818,Bareground,1
142.64656,9491,1769,-0.08984047,-0.186796699,0.12273434,-0.264139942,1.122734335,0.606730069,27.899996,1,-111.954224,36.26901,90,10,822,Bareground,1
145.77762,9355,1755,-0.07277028,-0.16803995,0.09569221,-0.245607477,1.095692207,0.562406419,31.253511,1,-111.954227,36.268841,90,10,821,Bareground,1
174.9372,8855,1743,-0.086558346,-0.177659574,0.11203021,-0.252075319,1.11203021,0.088247676,34.315464,1,-111.95556,36.268649,90,10,832,Bareground,1
164.98792,9323,1756,-0.101381134,-0.207772021,0.10978044,-0.223689476,1.109780439,0.259022775,31.803513,1,-111.955345,36.268828,90,10,833,Bareground,1
158.53181,9275,1765,-0.094415659,-0.191675231,0.12176859,-0.23251714,1.121768586,0.365984538,35.49564,1,-111.955557,36.26882,90,10,834,Bareground,1
175.47337,8753,1813,-0.039609644,-0.133497346,0.14197952,-0.293890178,1.141979522,0.078922376,37.351086,1,-111.956233,36.269546,90,10,835,Bareground,1
158.81354,9791,1819,-0.111953432,-0.197651663,0.10623946,-0.235404896,1.10623946,0.361404275,39.805763,1,-111.954457,36.269912,90,10,826,Bareground,1
140.9586,9735,1801,-0.05626327,-0.155745489,0.11316325,-0.256981265,1.113163249,0.629881727,28.452873,1,-111.95446,36.269743,90,10,827,Bareground,1
154.24966,10187,1800,-0.063226466,-0.16288095,0.09136905,-0.229505448,1.091369048,0.434450535,32.903297,1,-111.95379,36.269935,90,10,825,Bareground,1
145.57143,10233,1830,-0.094839789,-0.185313875,0.08582896,-0.22907566,1.08582896,0.56537842,36.714497,1,-111.953808,36.270288,90,10,829,Bareground,1
145.91978,9375,1836,-0.129722222,-0.19882368,0.06600884,-0.168158091,1.066008847,0.560353027,32.820683,1,-111.95358,36.270645,90,10,840,Bareground,1
